A00,"Cholera"
S37521,"Contusion of fallopian tube, unilateral"
S37522,"Contusion of fallopian tube, bilateral"
S37529,"Contusion of fallopian tube, unspecified"
S3753,"Laceration of fallopian tube"
S37531,"Laceration of fallopian tube, unilateral"
S37532,"Laceration of fallopian tube, bilateral"
S37539,"Laceration of fallopian tube, unspecified"
S3759,"Other injury of fallopian tube"
S37591,"Other injury of fallopian tube, unilateral"
S37592,"Other injury of fallopian tube, bilateral"
S37599,"Other injury of fallopian tube, unspecified"
S376,"Injury of uterus"
S3760,"Unspecified injury of uterus"
S3762,"Contusion of uterus"
S3763,"Laceration of uterus"
S3769,"Other injury of uterus"
S378,"Injury of other urinary and pelvic organs"
S3781,"Injury of adrenal gland"
S37812,"Contusion of adrenal gland"
S37813,"Laceration of adrenal gland"
S37818,"Other injury of adrenal gland"
S37819,"Unspecified injury of adrenal gland"
S3782,"Injury of prostate"
S37822,"Contusion of prostate"
S37823,"Laceration of prostate"
S37828,"Other injury of prostate"
S37829,"Unspecified injury of prostate"
S3789,"Injury of other urinary and pelvic organ"
S37892,"Contusion of other urinary and pelvic organ"
S37893,"Laceration of other urinary and pelvic organ"
S37898,"Other injury of other urinary and pelvic organ"
S37899,"Unspecified injury of other urinary and pelvic organ"
S379,"Injury of unspecified urinary and pelvic organ"
S3790,"Unspecified injury of unspecified urinary and pelvic organ"
S3792,"Contusion of unspecified urinary and pelvic organ"
S3793,"Laceration of unspecified urinary and pelvic organ"
S3799,"Other injury of unspecified urinary and pelvic organ"
S38,"Crushing injury and traumatic amputation of abdomen, lower back, pelvis and external genitals"
S380,"Crushing injury of external genital organs"
S3800,"Crushing injury of unspecified external genital organs"
S38001,"Crushing injury of unspecified external genital organs, male"
S38002,"Crushing injury of unspecified external genital organs, female"
S3801,"Crushing injury of penis"
S3802,"Crushing injury of scrotum and testis"
S3803,"Crushing injury of vulva"
S381,"Crushing injury of abdomen, lower back, and pelvis"
S382,"Traumatic amputation of external genital organs"
S3821,"Traumatic amputation of female external genital organs"
S38211,"Complete traumatic amputation of female external genital organs"
S38212,"Partial traumatic amputation of female external genital organs"
S3822,"Traumatic amputation of penis"
S38221,"Complete traumatic amputation of penis"
S38222,"Partial traumatic amputation of penis"
S3823,"Traumatic amputation of scrotum and testis"
S38231,"Complete traumatic amputation of scrotum and testis"
S38232,"Partial traumatic amputation of scrotum and testis"
S383,"Transection (partial) of abdomen"
S39,"Other and unspecified injuries of abdomen, lower back, pelvis and external genitals"
S390,"Injury of muscle, fascia and tendon of abdomen, lower back and pelvis"
S3900,"Unspecified injury of muscle, fascia and tendon of abdomen, lower back and pelvis"
S39001,"Unspecified injury of muscle, fascia and tendon of abdomen"
S39002,"Unspecified injury of muscle, fascia and tendon of lower back"
S39003,"Unspecified injury of muscle, fascia and tendon of pelvis"
S3901,"Strain of muscle, fascia and tendon of abdomen, lower back and pelvis"
S39011,"Strain of muscle, fascia and tendon of abdomen"
S39012,"Strain of muscle, fascia and tendon of lower back"
S39013,"Strain of muscle, fascia and tendon of pelvis"
S3902,"Laceration of muscle, fascia and tendon of abdomen, lower back and pelvis"
S39021,"Laceration of muscle, fascia and tendon of abdomen"
S39022,"Laceration of muscle, fascia and tendon of lower back"
S39023,"Laceration of muscle, fascia and tendon of pelvis"
S3909,"Other injury of muscle, fascia and tendon of abdomen, lower back and pelvis"
S39091,"Other injury of muscle, fascia and tendon of abdomen"
S39092,"Other injury of muscle, fascia and tendon of lower back"
S39093,"Other injury of muscle, fascia and tendon of pelvis"
S398,"Other specified injuries of abdomen, lower back, pelvis and external genitals"
S3981,"Other specified injuries of abdomen"
S3982,"Other specified injuries of lower back"
S3983,"Other specified injuries of pelvis"
S3984,"Other specified injuries of external genitals"
S39840,"Fracture of corpus cavernosum penis"
S39848,"Other specified injuries of external genitals"
S399,"Unspecified injury of abdomen, lower back, pelvis and external genitals"
S3991,"Unspecified injury of abdomen"
S3992,"Unspecified injury of lower back"
S3993,"Unspecified injury of pelvis"
S3994,"Unspecified injury of external genitals"
S40,"Superficial injury of shoulder and upper arm"
S400,"Contusion of shoulder and upper arm"
S4001,"Contusion of shoulder"
S40011,"Contusion of right shoulder"
S40012,"Contusion of left shoulder"
S40019,"Contusion of unspecified shoulder"
S4002,"Contusion of upper arm"
S40021,"Contusion of right upper arm"
S40022,"Contusion of left upper arm"
S40029,"Contusion of unspecified upper arm"
S402,"Other superficial injuries of shoulder"
S4021,"Abrasion of shoulder"
S40211,"Abrasion of right shoulder"
S40212,"Abrasion of left shoulder"
S40219,"Abrasion of unspecified shoulder"
S4022,"Blister (nonthermal) of shoulder"
S40221,"Blister (nonthermal) of right shoulder"
S40222,"Blister (nonthermal) of left shoulder"
S40229,"Blister (nonthermal) of unspecified shoulder"
S4024,"External constriction of shoulder"
S40241,"External constriction of right shoulder"
S40242,"External constriction of left shoulder"
S40249,"External constriction of unspecified shoulder"
S4025,"Superficial foreign body of shoulder"
S40251,"Superficial foreign body of right shoulder"
S40252,"Superficial foreign body of left shoulder"
S40259,"Superficial foreign body of unspecified shoulder"
S4026,"Insect bite (nonvenomous) of shoulder"
S40261,"Insect bite (nonvenomous) of right shoulder"
S40262,"Insect bite (nonvenomous) of left shoulder"
S40269,"Insect bite (nonvenomous) of unspecified shoulder"
S4027,"Other superficial bite of shoulder"
S40271,"Other superficial bite of right shoulder"
S40272,"Other superficial bite of left shoulder"
S40279,"Other superficial bite of unspecified shoulder"
S408,"Other superficial injuries of upper arm"
S4081,"Abrasion of upper arm"
S40811,"Abrasion of right upper arm"
S40812,"Abrasion of left upper arm"
S40819,"Abrasion of unspecified upper arm"
S4082,"Blister (nonthermal) of upper arm"
S40821,"Blister (nonthermal) of right upper arm"
S40822,"Blister (nonthermal) of left upper arm"
S40829,"Blister (nonthermal) of unspecified upper arm"
S4084,"External constriction of upper arm"
S40841,"External constriction of right upper arm"
S40842,"External constriction of left upper arm"
S40849,"External constriction of unspecified upper arm"
S4085,"Superficial foreign body of upper arm"
S40851,"Superficial foreign body of right upper arm"
S40852,"Superficial foreign body of left upper arm"
S40859,"Superficial foreign body of unspecified upper arm"
S4086,"Insect bite (nonvenomous) of upper arm"
S40861,"Insect bite (nonvenomous) of right upper arm"
S40862,"Insect bite (nonvenomous) of left upper arm"
S40869,"Insect bite (nonvenomous) of unspecified upper arm"
S4087,"Other superficial bite of upper arm"
S40871,"Other superficial bite of right upper arm"
S40872,"Other superficial bite of left upper arm"
S40879,"Other superficial bite of unspecified upper arm"
S409,"Unspecified superficial injury of shoulder and upper arm"
S4091,"Unspecified superficial injury of shoulder"
S40911,"Unspecified superficial injury of right shoulder"
S40912,"Unspecified superficial injury of left shoulder"
S40919,"Unspecified superficial injury of unspecified shoulder"
S4092,"Unspecified superficial injury of upper arm"
S40921,"Unspecified superficial injury of right upper arm"
S40922,"Unspecified superficial injury of left upper arm"
S40929,"Unspecified superficial injury of unspecified upper arm"
S41,"Open wound of shoulder and upper arm"
S410,"Open wound of shoulder"
S4100,"Unspecified open wound of shoulder"
S41001,"Unspecified open wound of right shoulder"
S41002,"Unspecified open wound of left shoulder"
S41009,"Unspecified open wound of unspecified shoulder"
S4101,"Laceration without foreign body of shoulder"
S41011,"Laceration without foreign body of right shoulder"
S41012,"Laceration without foreign body of left shoulder"
S41019,"Laceration without foreign body of unspecified shoulder"
S4102,"Laceration with foreign body of shoulder"
S41021,"Laceration with foreign body of right shoulder"
S41022,"Laceration with foreign body of left shoulder"
S41029,"Laceration with foreign body of unspecified shoulder"
S4103,"Puncture wound without foreign body of shoulder"
S41031,"Puncture wound without foreign body of right shoulder"
S41032,"Puncture wound without foreign body of left shoulder"
S41039,"Puncture wound without foreign body of unspecified shoulder"
S4104,"Puncture wound with foreign body of shoulder"
S41041,"Puncture wound with foreign body of right shoulder"
S41042,"Puncture wound with foreign body of left shoulder"
S41049,"Puncture wound with foreign body of unspecified shoulder"
S4105,"Open bite of shoulder"
S41051,"Open bite of right shoulder"
S41052,"Open bite of left shoulder"
S41059,"Open bite of unspecified shoulder"
S411,"Open wound of upper arm"
S4110,"Unspecified open wound of upper arm"
S41101,"Unspecified open wound of right upper arm"
S41102,"Unspecified open wound of left upper arm"
S41109,"Unspecified open wound of unspecified upper arm"
S4111,"Laceration without foreign body of upper arm"
S41111,"Laceration without foreign body of right upper arm"
S41112,"Laceration without foreign body of left upper arm"
S41119,"Laceration without foreign body of unspecified upper arm"
S4112,"Laceration with foreign body of upper arm"
S41121,"Laceration with foreign body of right upper arm"
S41122,"Laceration with foreign body of left upper arm"
S41129,"Laceration with foreign body of unspecified upper arm"
S4113,"Puncture wound without foreign body of upper arm"
S41131,"Puncture wound without foreign body of right upper arm"
S41132,"Puncture wound without foreign body of left upper arm"
S41139,"Puncture wound without foreign body of unspecified upper arm"
S4114,"Puncture wound with foreign body of upper arm"
S41141,"Puncture wound with foreign body of right upper arm"
S41142,"Puncture wound with foreign body of left upper arm"
S41149,"Puncture wound with foreign body of unspecified upper arm"
S4115,"Open bite of upper arm"
S41151,"Open bite of right upper arm"
S41152,"Open bite of left upper arm"
S41159,"Open bite of unspecified upper arm"
S42,"Fracture of shoulder and upper arm"
S420,"Fracture of clavicle"
S4200,"Fracture of unspecified part of clavicle"
S42001,"Fracture of unspecified part of right clavicle"
S42002,"Fracture of unspecified part of left clavicle"
S42009,"Fracture of unspecified part of unspecified clavicle"
S4201,"Fracture of sternal end of clavicle"
S42011,"Anterior displaced fracture of sternal end of right clavicle"
S42012,"Anterior displaced fracture of sternal end of left clavicle"
S42013,"Anterior displaced fracture of sternal end of unspecified clavicle"
S42014,"Posterior displaced fracture of sternal end of right clavicle"
S42015,"Posterior displaced fracture of sternal end of left clavicle"
S42016,"Posterior displaced fracture of sternal end of unspecified clavicle"
S42017,"Nondisplaced fracture of sternal end of right clavicle"
S42018,"Nondisplaced fracture of sternal end of left clavicle"
S42019,"Nondisplaced fracture of sternal end of unspecified clavicle"
S4202,"Fracture of shaft of clavicle"
S42021,"Displaced fracture of shaft of right clavicle"
S42022,"Displaced fracture of shaft of left clavicle"
S42023,"Displaced fracture of shaft of unspecified clavicle"
S42024,"Nondisplaced fracture of shaft of right clavicle"
S42025,"Nondisplaced fracture of shaft of left clavicle"
S42026,"Nondisplaced fracture of shaft of unspecified clavicle"
S4203,"Fracture of lateral end of clavicle"
S42031,"Displaced fracture of lateral end of right clavicle"
S42032,"Displaced fracture of lateral end of left clavicle"
S42033,"Displaced fracture of lateral end of unspecified clavicle"
S42034,"Nondisplaced fracture of lateral end of right clavicle"
S42035,"Nondisplaced fracture of lateral end of left clavicle"
S42036,"Nondisplaced fracture of lateral end of unspecified clavicle"
S421,"Fracture of scapula"
S4210,"Fracture of unspecified part of scapula"
S42101,"Fracture of unspecified part of scapula, right shoulder"
S42102,"Fracture of unspecified part of scapula, left shoulder"
S42109,"Fracture of unspecified part of scapula, unspecified shoulder"
S4211,"Fracture of body of scapula"
S42111,"Displaced fracture of body of scapula, right shoulder"
S42112,"Displaced fracture of body of scapula, left shoulder"
S42113,"Displaced fracture of body of scapula, unspecified shoulder"
S42114,"Nondisplaced fracture of body of scapula, right shoulder"
S42115,"Nondisplaced fracture of body of scapula, left shoulder"
S42116,"Nondisplaced fracture of body of scapula, unspecified shoulder"
S4212,"Fracture of acromial process"
S42121,"Displaced fracture of acromial process, right shoulder"
S42122,"Displaced fracture of acromial process, left shoulder"
S42123,"Displaced fracture of acromial process, unspecified shoulder"
